ID,Fragment,Attribution,Rhythmic,Context
frag0001,"An agent of biology,
Acknowledging this honestly.",,Y,
frag0002,"An insidious conspiracy of hideous idiocy,
incessantly insistent on persisting in its lunacy.",,Y,
frag0003,Remember the weight of my head in my hands,,Y,
frag0004,"If it's pink in the middle, get it back in the oven",,Y,
frag0005,Count back from a hundred in sevens,,N,the experience of General Anaesthetic
frag0006,A little whistle whetter,,Y,
frag0007,It's gonna be a taxi to the station situation,,Y,
frag0008,Four-hour sleep stories,,N,
frag0009,Proven Sire,,N,proud dad
frag0010,Cold DMs,,N,reaching out to celebrities on social media
frag0011,"The myth is this side of the truth, but it leads you to it.",Joseph Campbell,N,
frag0012,"Middle to middle.
End to end.",,Y,"gen-AI is middle-to-middle, humans are end-to-end"
frag0013,"I'm not telling you off, I'm just telling you.",,Y,
frag0014,"If the stone didn't fall to the ground, it would be a balloon.",Alan Watts,Y,
frag0015,The world in its rotation doesn't tick.,Alan Watts,Y,much of the human experience is not present in reality beyond human experience.
frag0016,"Truth is a dimension where we stop talking,
to know things in another way than words.",Alan Watts,Y,
frag0017,She was always a lucky lady,,N,
frag0018,I just wanna watch him play fortnight,,N,young love
frag0019,"a fantastic servant, but a terrible master",Osho via Sven,N,the mind
frag0020,"super computer and plenty of energy
use it intelligently to do anything",,Y,
frag0021,"people are fearful and hear with an earful of
fear in their ear and they'll hear pretty fearfully",,Y,
frag0022,Patio Slab,,N,
frag0023,"Don't be alarmed when you hear that humming,
It's just the sound of the engines running.
Whatever feeling you might be making,
You're nothing but another oscillation.",,Y,life is unsatisfactoriness
frag0024,Nothing to lose but loss itself,,N,
frag0025,and gradually you come to realise that you are your older self remembering this ongoing moment.,,N,
frag0026,drink responsively,,N,
frag0027,Hip Hip,,N,(...hooray)
frag0028,"I record my baby's heartbeat, with an app on my phone.",,N,
frag0029,You must tell me if ever I say anything clever enough to write down.,,Y,
frag0030,"an apple crumble made of pure hatred,
chopping apples in the middle of his roast.",,N,marital strife
frag0031,"You're on your own, and if you're not,
then who you're with is what you've got.",,Y,marriage
frag0032,on every jukebox in the land,,N,ie. a meme of the moment
frag0033,they're teaching kids to be homo in the primary schools,,N,mock perspective
frag0034,"To be more fluid.
That's why I do it.",,Y,
frag0035,"My friend is an artist, poor bastard.",,Y,
frag0036,the fickle unfurling of fate,,Y,
frag0037,"Don't stop torturing yourself, if you want to be any good.
If you think you might possibly pack it all in,
then you probably should.",,Y,
frag0038,Stress test,,N,
frag0039,Swings like god's own cock,Paul Curreri on twitter (I think),N,
frag0040,"Shuddering word helmet,
Peaches a supple one,
She never asked for a
Nice hammy leg today.",,N,
frag0041,"Universe has all the data,
-- Knows what you're up to later,
Got up early, read the paper,
Every me, and every you,
And all at once, and even later,
Universe has all the data.",,Y,
frag0042,"The consistency is inconsistent, so you you've got a system of inconsistent consistency.",,Y,
frag0043,She's not a great looker but she looks great,,Y,
frag0044,Real light feels like rain on my face.,,Y,
frag0045,"A hymn to mixed metaphors, greased generously with knowing irony.",,N,
frag0046,"I got a bit of pitta bread but not a lot to eat it with,
I put it in a pan and heat it up and then I eat it up.",,Y,
frag0047,Jimmy The Prick,,N,
frag0048,I only ever play my guitar on stage,,N,mock perspective
frag0049,"I celebrate my love for you
with tequilas in the afternoon",,Y,marriage
frag0050,10 miles as the flow cries,,N,
frag0051,A massage doesn't count as a doctor's appointment.,,N,"perceived priviledge, jealous scoffing"
frag0052,My floors have been reinforced.,,N,
frag0053,"Should some gloom obscure your view of some bright firmament, remember weather is by definition impermanent.",,Y,depression
frag0054,Rare rococo decor,,N,
frag0055,I can't think of a single thing he could say that I haven't already thought of.,"Eve, 2014",N,mock perspective
frag0056,I only wanna hear about the problems I can help you with.,,Y,
frag0057,It's nice but I wouldn't want it in my house.,,N,
frag0058,Let's get this ship on the road already,,Y,a confused metaphor
frag0059,"Love will set you free it's true, but
Only having broken you.
Love will take your breath away.

Love will set you free, it's true,
Though you may be black and blue,
Love will take you all the way.",,Y,
frag0060,If you talk all the time I will leave you somewhere.,,Y,
frag0061,Jumbo mumbo,,N,
frag0062,"I saw, I conquered, I came",,N,romantic conquest
frag0063,"Don't,
Pretend,
You know,
How this ends.",,Y,cheer up
frag0064,Is that what it is?,,Y,a catchy chorus hook
frag0065,"Give me a breath, I'll survive 30 seconds
Teach me to breathe and I'm laughing",,Y,
